PROTID	sample 27
CHOYP_LOC100199980.1.2|m.51259	27
CHOYP_BZW1.1.1|m.44089	27
CHOYP_LOC100710670.1.2|m.7245	27
CHOYP_BRAFLDRAFT_126856.2.3|m.30577	27
CHOYP_LOC100497129.7.8|m.41875	27
CHOYP_contig_048541|m.57541	27
CHOYP_EIF2A.1.1|m.12752	27
CHOYP_NRP.2.4|m.39720	27
CHOYP_LOC100710670.2.2|m.45011	27
CHOYP_BRAFLDRAFT_72748.1.1|m.27724	27
CHOYP_BRAFLDRAFT_125037.1.3|m.2939	27
CHOYP_TRIADDRAFT_63666.3.3|m.57696	27
CHOYP_NRG.1.1|m.10622	27
CHOYP_ISCW_ISCW019590.1.1|m.30707	27
CHOYP_LOC578003.1.1|m.64329	27
